TopPosition,BottomPosition
-58.96181,65.4652
-71.87779,78.17754
-84.36726,90.42599
-96.35611,102.13785
-107.7732,113.243645
-118.55079,123.67746
-128.62492,133.37738
-137.9358,142.28586
-146.42822,150.35004
-154.05174,157.52205
-160.76117,163.75934
-166.51666,169.0249
-171.28407,173.2875
-175.03511,176.52182
-177.74753,178.70871
-179.40523,179.83514
-179.99837,179.89445
-179.52342,178.8863
-177.98322,176.81667
-175.3869,173.6978
-171.74986,169.54826
-167.09369,164.39262
-161.44601,158.26152
-154.84035,151.1913
-147.31589,143.22394
-138.91728,134.40672
-129.69435,124.79193
-119.701836,114.43665
-108.99904,103.40231
-97.64947,91.7544
-85.72045,79.56204
-73.28278,66.89756
-60.41027,53.83613
-47.17929,40.45524
-33.668358,26.83429
-19.957644,13.054112
-6.1285014,-0.80352604
7.737006,-14.656396
21.556604,-28.422297
35.248287,-42.019543
48.73082,-55.36745
61.924183,-68.38682
74.7501,-81.00038
87.13247,-93.1333
98.99781,-104.713585
110.2757,-115.67251
120.899254,-125.94505
130.8054,-135.47025
139.93538,-144.19159
148.23499,-152.05731
155.655,-159.02075
162.15138,-165.04059
167.68558,-170.0811
172.22478,-174.11237
175.742,-177.11047
178.21642,-179.05765
179.6333,-179.9423
179.9843,-179.75922
179.26729,-178.50946
177.48653,-176.20045
174.65259,-172.8459
170.7823,-168.4657
165.89862,-163.08586
160.03052,-156.7383
153.21283,-149.46066
145.48598,-141.29614
136.89586,-132.2932
127.4934,-122.50525
117.33443,-111.990364
106.47921,-100.81096
94.992165,-89.03334
82.94145,-76.727425
70.398575,-63.96621
57.437965,-50.825436
44.13652,-37.383068
30.573183,-23.718878
16.828428,-9.913941
2.9838161,3.949823
-10.878502,17.790148
-24.67627,31.524908
-38.32761,45.07261
-51.751522,58.35285
-64.86835,71.286835
-77.60026,83.79781
-89.8717,95.811554
-101.609856,107.25675
-112.74508,118.06551
-123.21129,128.17369
-132.94638,137.52132
-141.8926,146.05289
-149.99683,153.7178
-157.21101,160.4706
-163.49232,166.27118
-168.80351,171.08513
-173.11304,174.88388
-176.39534,177.6449
-178.63094,179.3518
-179.80658,179.99448
-179.91525,179.56906
-178.95634,178.07812
-176.93556,175.53049
-173.86484,171.9413
-169.76245,167.33182
-164.65271,161.72943
-158.56595,155.16736
-151.53828,147.68456
-143.6114,139.3254
-134.83237,130.13951
-125.25325,120.1814
-114.93089,109.510155
-103.926575,98.18908
-92.30555,86.28537
-80.13681,73.86966
-67.49255,61.015617
-54.447803,47.799515
-41.079967,34.29978
-27.468367,20.596516
-13.693776,6.7710342
0.16207176,-7.094626
14.016958,-20.918186
27.788671,-34.617622
41.39549,-48.111645
54.75667,-61.320175
67.79294,-74.16484
80.42693,-86.56943
92.58369,-98.46033
104.19106,-109.766975
115.18018,-120.42227
125.48585,-130.363
135.04689,-139.53021
143.80658,-147.86945
151.71297,-155.33124
158.7191,-161.87132
164.78342,-167.45088
169.86993,-172.03682
173.94847,-175.60193
176.99483,-178.12503
178.99092,-179.59116
179.92491,-179.99164
179.79124,-179.32407
178.59074,-177.59242
176.3305,-174.80695
173.02396,-170.9842
168.69069,-166.14688
163.35645,-160.32365
157.05287,-153.5491
149.81737,-145.8634
141.69287,-137.31216
132.72762,-127.94617
122.97474,-117.82093
112.49217,-106.996574
101.34209,-95.53731
89.59065,-83.51115
77.3076,-70.98943
64.56581,-58.046486
51.440907,-44.7591
38.010757,-31.206116
24.355059,-17.467964
10.55484,-3.6261594
-3.3080094,10.237163
-17.15123,24.03974
-30.892675,37.69967
-44.45081,51.13589
-57.74518,64.268684
-70.6969,77.02012
-83.22911,89.31452
-95.26746,101.07895
-106.74051,112.24358
-117.58016,122.74219
-127.72213,132.51247
-137.1062,141.49643
-145.67671,149.64078
-153.3828,156.89716
-160.17873,163.22256
-166.0242,168.57942
-170.88449,172.93594
-174.73079,176.26631
-177.54027,178.55072
-179.29623,179.77565
-179.98828,179.93382
-179.61232,179.02429
-178.17056,177.05244
-175.67159,174.03001
-172.13017,169.9749
-167.56738,164.9112
-162.01025,158.86893
-155.49179,151.88396
-148.05067,143.99773
-139.73103,135.25703
-130.58226,125.713745
-120.65864,115.4245
-110.019035,104.45034
-98.7266,92.856384
-86.848335,80.71143
-74.45473,68.08756
-61.61931,55.059658
-48.41826,41.705044
-34.929897,28.102957
-21.234272,14.334113
